NAME,loc_number
Engine 33 Station,20
Engine 1 Station,129
Engine 2 Station,112
Engine 3 Station,113
Engine 4 Station,170
Engine 5 Station,146
Engine 6 Station,132
Engine 7 Station,63
Engine 8 Station,81
Engine 9 Station,169
Engine 10 Station,116
Engine 11 Station,207
Engine 12 Station,173
Engine 14 Station,242
Engine 15 Station,44
Engine 16 Station,131
Engine 17 Station,212
Engine 18 Station,80
Engine 19 Station,55
Engine 20 Station,219
Engine 21 Station,187
Engine 22 Station,273
Engine 23 Station,109
Engine 24 Station,240
Engine 25 Station,24
Engine 26 Station,194
Engine 27 Station,121
Engine 28 Station,204
Engine 29 Station,144
Engine 30 Station,104
Engine 31 Station,248
Engine 32 Station,38
Engine 13 Station,77
