hour,rate_fire,rate_ems,st_to_mean
0,0.0014583333333333334,0.0075,0.6419045852072134
1,0.0010416666666666667,0.006055555555555555,0.5917405424131524
2,0.0004166666666666667,0.004222222222222222,0.5830766145456108
3,0.0006944444444444445,0.0038888888888888888,0.5033094205059029
4,0.00034722222222222224,0.0029444444444444444,0.6212987055198992
5,0.0007638888888888889,0.0033333333333333335,0.8783732824403323
6,0.0004861111111111111,0.0032222222222222222,0.5436534188761114
7,0.0009722222222222222,0.0035,1.0608036347403018
8,0.0009722222222222222,0.0045,0.6772411716260464
9,0.0010416666666666667,0.005111111111111111,0.6382065425113155
10,0.0011111111111111111,0.006277777777777778,0.6265869999801107
11,0.0015277777777777779,0.005611111111111111,0.9756929534809262
12,0.001388888888888889,0.0054444444444444445,0.5533846699739915
13,0.0018055555555555555,0.005833333333333334,0.670679526354832
14,0.001388888888888889,0.005888888888888889,0.8132515010433916
15,0.0011805555555555556,0.005666666666666667,0.6118305505950691
16,0.0015972222222222223,0.0064444444444444445,0.7652161225194768
17,0.001875,0.006222222222222222,0.7807897085381258
18,0.0015277777777777779,0.006333333333333333,0.7197473024567423
19,0.001736111111111111,0.005111111111111111,0.6693747587548005
20,0.00125,0.005888888888888889,0.5550459376636805
21,0.0013194444444444445,0.005611111111111111,0.5342864426567782
22,0.0009027777777777777,0.004166666666666667,0.6714683424020956
23,0.0010416666666666667,0.0038888888888888888,0.48981763817593815
